1101,1046,1039,1033,1015,929,codigos_movimentos_temas,id_documento,acertou_1101,acertou_1046,acertou_1039,acertou_1033,acertou_1015,acertou_929
0.000601830910203724,0.5620354572223651,0.006678454732926574,0.004455729126053215,0.00018905995462137668,0.5664365622081883,85763,169620128260627,1,0,1,1,1,0
0.0018231367334487758,0.31414671489186574,0.008765861733611905,0.0285929439980129,0.00026213998259343657,0.3389370111168391,85763,604619958260099,1,1,1,1,1,1
0.9974401534075239,0.000421797124599039,0.0001344144383442086,7.058663156669918e-05,0.0010894252834959782,7.204628017063236e-05,1101,1508420158260315,1,1,1,1,1,1
0.00034829303000556385,0.0300225817362649,0.06776338669547359,0.019980320912197473,0.00029751670977328946,0.28738578878529775,80718;85409;85456;1039,1937120108260549,1,1,0,1,1,1
0.0005404572076976403,0.0038507649180755184,0.9999581861735791,9.069960386691812e-05,0.00027481691877127373,0.00172980067390526,80718;1039,2687920118260063,1,1,1,1,1,1
0.00029551413414283104,0.4217630885912149,0.004530260204464338,0.11409036712734463,0.00022143203386784034,0.05675248389205416,85763,3021719928260032,1,1,1,1,1,1
0.0007010131234394714,0.006855454882791083,0.9990192323263556,0.0009528511955728782,0.00019121334571984725,0.0014778961796144319,1039,3494520158260691,1,1,1,1,1,1
0.0008835424310539352,0.03390394913196179,3.7376289120811476e-05,0.06477658677072619,4.0625201658824416e-05,0.46258264706116353,80101;80357;85518;85763,3692220118260450,1,1,1,1,1,1
0.00035617912759392775,0.010198519177113447,0.9999410767034691,0.00011073212681777237,0.00028485230004826265,0.012232695722059147,1039,4868820058260590,1,1,1,1,1,1
0.00022662222238680797,0.010184265800718446,0.9904549990069791,6.563990252339739e-05,0.00123125174493495,0.25913658461072825,1039,5505720218260196,1,1,1,1,1,1
0.0006805052134606974,0.007175566028135155,0.9987185795735243,0.0007590415626109299,0.00018961430951198086,0.0021573484152663594,1039,5702020168260262,1,1,1,1,1,1
0.0005350193461218622,0.011175090459114079,0.996514332028268,0.000634247486931127,0.0002083383306802974,0.009187044725007035,1039,5710520168260262,1,1,1,1,1,1
0.9849290211926645,0.003049344535128335,0.0002224082042573587,4.192273633478318e-05,0.0008362332826633088,0.0003876386911435335,1101,6081820148260160,1,1,1,1,1,1
0.016889833249849023,0.08079671595762504,0.00012824998623729952,0.2567565290258735,3.4075958166472036e-05,0.029004233348388954,85763,6265619988260077,1,1,1,1,1,1
0.0009950280611011031,0.01458874706219879,0.9982819986783342,0.00017383741836918235,0.0004654156065441371,0.006608388279768384,1039,"9,61542014826042E+015",1,1,1,1,1,1
0.004538064485886005,0.07181236474923852,0.1382390365353988,0.002206508990888933,0.0001421469728898358,0.09542558158597186,1039,"9,94392012826002E+015",1,1,0,1,1,1
0.0003508101182505556,0.021350801777736985,0.9993971041022516,0.0003422917902288547,0.00012442245479481976,0.015461371791883947,1039,"1,10163201482605E+016",1,1,1,1,1,1
0.9736476670400063,0.0018575795118472849,0.00029100379610045397,0.00031376233531755593,0.0018451414405268472,0.00010157446669188444,1101,"1,21058201482604E+016",1,1,1,1,1,1
0.006399774888665831,0.25984555529903586,0.00010546479696541374,0.07804938043026777,0.0002722342395682138,0.045150789164398006,85334;85763,"1,29832202082603E+016",1,1,1,1,1,1
0.9970685680890907,0.0005276404372036832,8.515605051824021e-05,5.628692492967773e-05,0.0007875921596313902,9.499406593787513e-05,1101,"1,35343201582605E+016",1,1,1,1,1,1
0.011484660018419,0.012126231895426722,0.0001757281972383404,0.11535999185320503,0.5726641490512759,0.00013103761206153302,80554;84999;1015;1101,"1,39995201482603E+016",0,1,1,1,1,1
0.03987154714070718,0.005927124155912237,9.24100301742295e-05,0.02070552962496739,0.702125927610294,0.0003261847508217685,80101;80554;84999;1015;89955,"1,52633201482603E+016",1,1,1,1,1,1
0.002263820658779298,0.3126959973652475,0.00014473133996548683,0.29146499836211137,3.871363414705547e-05,0.03421610666072519,85763,"1,56837201982604E+016",1,1,1,1,1,1
0.00229924432842462,0.021660470214672815,0.1316328455376489,0.0018307407486229537,0.0002412891656261834,0.3163353229048875,1039,"1,574442014826E+016",1,1,0,1,1,1
0.010751359622421365,0.01199926531735966,5.008288351305252e-05,0.015123491356888726,0.7498551512059419,0.002322737797024575,80101;80554;84999;1015;1101;89955,"1,57574201482603E+016",0,1,1,1,1,1
0.00028604004157553234,0.079128414910928,0.5334950380123806,0.002121034205630477,0.0003872535912175956,0.3447402828229933,1039,"1,64208201182601E+016",1,1,1,1,1,1
0.0032685508401378047,0.6377664538659951,0.00043127730572521385,0.002059662646205709,0.0009285624530236141,0.2487274903792362,85763,"1,71959199582601E+016",1,0,1,1,1,1
0.0034360967956003617,0.43880450012629846,0.0003980472580874426,0.12186982534261356,6.244548003587744e-05,0.02790614375187332,85763,"1,75387202082604E+016",1,1,1,1,1,1
0.0006368183177899872,0.008163906137463262,0.9998982928153608,0.00025281026802335493,8.509720406678315e-05,0.004967341685630364,1039,"1,79403201082602E+016",1,1,1,1,1,1
0.0009310581235793787,0.006232988574913115,0.9992730859150559,0.002229017364364577,0.0002591651335459829,0.00083733436253645,85409;1039,"1,79725201282601E+016",1,1,1,1,1,1
0.0007390235924543105,0.005239770920752303,0.9999994471189337,1.1533218079520758e-05,0.00033327114281525393,0.002043928538206704,1039,"1,80051201182604E+016",1,1,1,1,1,1
0.0026292715183793215,0.024027839943736123,0.9960980976006808,5.913562785036372e-05,0.00022749537459438186,0.020713492770750075,80718;1039,"1,81189200582603E+016",1,1,1,1,1,1
0.0042330402693891425,0.018887627180060554,0.9551959120418725,0.0027315656486606183,0.00032155727983593956,0.0025892987988354803,80718;85409;1039,"1,81368200882601E+016",1,1,1,1,1,1
